epoch,accuracy,loss,val_accuracy,val_loss
0,0.22188164293766022,2.1583919525146484,0.2454722821712494,1.8367968797683716
1,0.252255380153656,1.8124135732650757,0.2468654215335846,1.813366174697876
2,0.25044411420822144,1.8139722347259521,0.24714405834674835,1.812972903251648
3,0.25121042132377625,1.8116995096206665,0.24714405834674835,1.8130083084106445
4,0.2513149082660675,1.8115835189819336,0.24714405834674835,1.8138359785079956
5,0.2513149082660675,1.8114951848983765,0.24700473248958588,1.8138165473937988
6,0.2509666085243225,1.8155019283294678,0.24714405834674835,1.8133039474487305
7,0.2513149082660675,1.8115673065185547,0.24714405834674835,1.8140913248062134
8,0.2513149082660675,1.8115109205245972,0.24714405834674835,1.8131718635559082
9,0.2513149082660675,1.8118692636489868,0.24714405834674835,1.813616156578064
10,0.2513149082660675,1.811090350151062,0.24714405834674835,1.813732385635376
11,0.2513149082660675,1.8113011121749878,0.24714405834674835,1.8135305643081665
12,0.2513149082660675,1.8107801675796509,0.24714405834674835,1.8131279945373535
